Rapport jour piscine notifications (Log started: 2021-03-26T13:55:12.790249+00:00)
Heure, energie consommée, temps de fonctionnement pompe (depuis 25/08/2022)
--------------------------------------------------------------------------------
2022-01-21T22:59:00.206131+00:00 1h 35m,2.0
2022-01-22T22:59:00.261176+00:00 1h 35m,1.0
2022-01-23T22:59:00.157971+00:00 1h 34m,2.0
2022-01-24T22:59:01.087397+00:00 1h 35m,1.0
2022-01-25T22:59:00.339297+00:00 1h 35m,2.0
2022-01-26T22:59:01.089299+00:00 1h 35m,1.0
2022-01-27T22:59:00.490433+00:00 1h 33m,2.0
2022-01-28T22:59:00.178379+00:00 1h 35m,1.0
2022-01-29T22:59:00.231905+00:00 1h 32m,2.0
2022-01-30T22:59:00.587445+00:00 1h 35m,1.0
2022-01-31T22:59:00.575160+00:00 1h 35m,2.0
2022-02-01T22:59:00.172136+00:00 1h 35m,1.0
2022-02-02T22:59:00.179502+00:00 1h 31m,2.0
2022-02-03T22:59:00.170832+00:00 1h 35m,1.0
2022-02-04T22:59:00.197214+00:00 1m,2.0
2022-02-05T22:59:00.971222+00:00 1h 29m,1.0
2022-02-06T22:59:00.277364+00:00 1h 30m,2.0
2022-02-07T22:59:00.199383+00:00 1h 29m,2.0
2022-02-08T22:59:00.636929+00:00 1h 30m,1.0
2022-02-09T22:59:00.346325+00:00 1h 30m,2.0
2022-02-10T22:59:00.074610+00:00 1h 30m,1.0
2022-02-11T22:59:00.080604+00:00 1h 31m,1.0
2022-02-12T22:59:00.066573+00:00 1h 59m,2.0
2022-02-13T22:59:00.044983+00:00 1h 30m,2.0
2022-02-14T22:59:00.096730+00:00 1h 30m,1.0
2022-02-15T22:59:00.058612+00:00 1h 30m,2.0
2022-02-16T22:59:00.089196+00:00 1h 30m,2.0
2022-02-17T22:59:00.077006+00:00 1h 45m,1.0
2022-02-18T22:59:00.103407+00:00 1h 29m,2.0
2022-02-19T22:59:00.074940+00:00 1h 29m,2.0
2022-02-20T22:59:00.131859+00:00 1h 12m,1.0
2022-02-21T22:59:00.040629+00:00 1h 10m,1.0
2022-02-22T22:59:00.085888+00:00 1h 12m,2.0
2022-02-23T22:59:00.084175+00:00 1h 15m,1.0
2022-02-24T22:59:00.081906+00:00 1h 17m,2.0
2022-02-25T22:59:00.101692+00:00 48m,1.0
2022-02-26T22:59:00.080222+00:00 1h 30m,1.0
2022-02-27T22:59:00.109817+00:00 1h 17m,2.0
2022-02-28T22:59:00.070409+00:00 1h 14m,2.0
2022-03-01T22:59:00.090756+00:00 1h 15m,1.0
2022-03-02T22:59:00.112759+00:00 1h 14m,1.0
2022-03-03T22:59:00.093042+00:00 1h 22m,2.0
2022-03-04T22:59:00.105722+00:00 1h 20m,1.0
2022-03-05T22:59:00.092938+00:00 14m,1.0
2022-03-06T22:59:00.110265+00:00 0m,0.0
2022-03-07T22:59:00.109429+00:00 34m,1.0
2022-03-08T22:59:00.086201+00:00 1h 20m,2.0
2022-03-09T22:59:00.063158+00:00 1h 17m,1.0
2022-03-10T22:59:00.077590+00:00 0m,1.0
2022-03-11T22:59:00.087443+00:00 0m,0.0
2022-03-12T22:59:00.083681+00:00 1h 27m,2.0
2022-03-13T22:59:00.080839+00:00 1h 16m,1.0
2022-03-14T22:59:00.068847+00:00 1h 22m,1.0
2022-03-15T22:59:00.082231+00:00 1h 27m,2.0
2022-03-16T22:59:00.075943+00:00 1h 30m,2.0
2022-03-17T22:59:00.085773+00:00 2h 3m,2.0
2022-03-18T22:59:00.083314+00:00 0m,0.0
2022-03-19T22:59:00.101734+00:00 0m,1.0
2022-03-20T22:59:00.087769+00:00 0m,0.0
2022-03-21T22:59:00.084311+00:00 0m,0.0
2022-03-22T22:59:00.084001+00:00 1h 37m,2.0
2022-03-23T22:59:00.045494+00:00 1h 38m,2.0
2022-03-24T22:59:00.081082+00:00 1h 35m,1.0
2022-03-25T22:59:00.073867+00:00 1h 41m,2.0
2022-03-26T22:59:00.081265+00:00 1h 36m,2.0
2022-03-27T21:59:00.085801+00:00 1h 40m,2.0
2022-03-28T21:59:00.077131+00:00 1h 40m,1.0
2022-03-29T21:59:00.074111+00:00 1h 40m,2.0
2022-03-30T21:59:00.082014+00:00 1h 51m,2.0
2022-03-31T21:59:00.069429+00:00 25m,1.0
2022-04-01T21:59:00.075796+00:00 0m,0.0
2022-04-02T21:59:00.080874+00:00 1h 37m,2.0
2022-04-03T21:59:00.081663+00:00 1h 34m,2.0
2022-04-04T21:59:00.074677+00:00 1h 27m,1.0
2022-04-05T21:59:00.078364+00:00 1h 25m,2.0
2022-04-06T21:59:00.085242+00:00 1h 32m,1.0
2022-04-07T21:59:00.051456+00:00 1h 30m,2.0
2022-04-08T21:59:00.075111+00:00 1h 35m,2.0
2022-04-09T21:59:00.074280+00:00 1h 40m,1.0
2022-04-10T21:59:00.025557+00:00 1h 45m,2.0
2022-04-11T21:59:00.068561+00:00 28m,1.0
2022-04-12T21:59:00.091969+00:00 0m,0.0
2022-04-13T21:59:00.875543+00:00 1h 54m,2.0
2022-04-14T21:59:00.061425+00:00 1h 58m,2.0
2022-04-15T21:59:01.050912+00:00 1h 55m,2.0
2022-04-16T21:59:00.071527+00:00 1h 57m,2.0
2022-04-17T21:59:00.071675+00:00 2h 0m,2.0
2022-04-18T21:59:00.080585+00:00 2h 5m,2.0
2022-04-19T21:59:00.067739+00:00 2h 12m,2.0
2022-04-20T21:59:00.035705+00:00 2h 0m,2.0
2022-04-21T21:59:00.964411+00:00 2h 3m,2.0
2022-04-22T21:59:00.066229+00:00 1h 59m,2.0
2022-04-23T21:59:00.098124+00:00 1h 59m,2.0
2022-04-24T21:59:01.420797+00:00 2h 4m,3.0
2022-04-25T21:59:00.118359+00:00 2h 0m,2.0
2022-04-26T21:59:00.089017+00:00 2h 10m,2.0
2022-04-27T21:59:00.045945+00:00 2h 8m,2.0
2022-04-28T21:59:00.071512+00:00 2h 10m,2.0
2022-04-29T21:59:00.516709+00:00 2h 10m,2.0
2022-04-30T21:59:00.073124+00:00 2h 20m,2.0
2022-05-01T21:59:00.058114+00:00 2h 17m,3.0
2022-05-02T21:59:00.038847+00:00 1h 9m,1.0
2022-05-03T21:59:00.499780+00:00 0m,0.0
2022-05-04T21:59:00.074410+00:00 2h 29m,3.0
2022-05-05T21:59:00.067739+00:00 2h 23m,2.0
2022-05-06T21:59:00.084026+00:00 2h 22m,2.0
2022-05-07T21:59:00.471398+00:00 2h 26m,3.0
2022-05-08T21:59:00.582687+00:00 2h 25m,2.0
2022-05-09T21:59:00.142924+00:00 ,10.0
2022-05-10T21:59:00.585714+00:00 ,20.0
2022-05-11T21:59:00.086939+00:00 ,10.0
2022-05-12T21:59:02.463555+00:00 ,5.0
2022-05-13T21:59:00.106991+00:00 ,7.0
2022-05-14T21:59:00.484975+00:00 ,7.0
2022-05-15T21:59:00.096759+00:00 ,8.0
2022-05-16T21:59:00.081457+00:00 ,7.0
2022-05-17T21:59:00.079718+00:00 ,9.0
2022-05-18T21:59:01.057522+00:00 ,11.0
2022-05-19T21:59:00.036065+00:00 ,11.0
2022-05-20T21:59:00.115563+00:00 ,11.0
2022-05-21T21:59:00.485444+00:00 ,12.0
2022-05-22T21:59:00.087070+00:00 ,13.0
2022-05-23T21:59:00.056581+00:00 ,10.0
2022-05-24T21:59:00.066347+00:00 ,6.0
2022-05-25T21:59:00.081737+00:00 ,5.0
2022-05-26T21:59:00.082065+00:00 ,7.0
2022-05-27T21:59:00.078127+00:00 ,6.0
2022-05-28T21:59:00.069929+00:00 ,7.0
2022-05-29T21:59:00.077632+00:00 ,8.0
2022-05-30T21:59:00.105471+00:00 ,8.0
2022-05-31T21:59:00.103658+00:00 ,9.0
2022-06-01T21:59:00.081996+00:00 ,10.0
2022-06-02T21:59:00.067272+00:00 ,11.0
2022-06-03T21:59:00.089550+00:00 ,11.0
2022-06-04T21:59:00.032649+00:00 ,12.0
2022-06-05T21:59:00.125987+00:00 ,10.0
2022-06-06T21:59:00.115523+00:00 ,9.0
2022-06-07T21:59:00.097439+00:00 ,9.0
2022-06-08T21:59:00.124029+00:00 ,8.0
2022-06-09T21:59:00.079398+00:00 ,7.0
